,source_id,ra,dec,pmra,pmdec,best_neighbour_multiplicity,number_of_mates,g_mean_psf_mag,i_mean_psf_mag,phi1,phi2,pm_phi1,pm_phi2
57,636347027499897856,136.82168173860325,19.25802008801597,-3.563521262659231,-11.489434634073044,1,0,20.7784004211426,20.1989994049072,-59.961836502603205,-0.5716432692328448,-6.432333135834336,-0.15389884318267766
58,636475773441369984,135.81209375960228,19.557852579146566,-4.105572319551925,-13.338320366966055,1,0,20.9095001220703,20.1620998382568,-60.20813785603548,0.395803815743407,-8.31984306115806,-0.5493358742479373
59,636299031240802432,136.97856604804116,19.225534787698276,-3.4592641901686694,-12.97292386240137,1,0,18.642599105835,18.3908996582031,-59.911002187810254,-0.7145106135792311,-7.630394450052051,-1.0450360072262093
60,636567135986078464,136.65218326145114,19.769401270910837,-3.111202931618782,-11.52404803991461,1,0,21.6494998931885,20.221399307251,-59.612121007630435,-0.16576241892809263,-6.210330466813427,-0.5269945985974569
61,636431213154982784,135.8926561595205,19.23779920680373,-3.2510573272191743,-11.351177153615204,1,0,15.9554004669189,15.358099937439,-60.440891868142614,0.16334855638952667,-6.188471246002466,-0.25199770124746484
62,636329126076354688,137.28605534390445,19.455584769923746,-3.374614053341036,-14.052730608670124,1,0,20.8957004547119,18.8785991668701,-59.562053073567256,-0.8384421742800852,-8.477558298494953,-1.7193515816777014
63,636443131688112512,135.73509072347565,19.26976269619843,-3.8264785708001394,-11.213773246674148,1,0,19.3397998809814,18.710599899292,-60.49160047001624,0.30679754451070873,-6.377815884496762,0.32694517924752725
64,636586274358369408,136.4710598782935,20.000943548661542,-6.010222576762115,-11.445958612802674,1,0,21.5316009521484,19.9076995849609,-59.50529335110048,0.10108950444522909,-7.671212100161888,2.0016461907329384
65,636298717708784512,136.9051325780668,19.197643840791482,-3.83299986511614,-12.353520476892212,1,0,21.7763004302979,20.2994995117188,-59.97138228741835,-0.670450835359055,-7.307059491287706,-0.39261159984508864
66,685498878049731328,135.6958742228411,22.13278343043341,-3.4228118469752404,-11.746979489189249,1,0,16.156400680542,15.3585996627808,-58.07035456274593,1.8359147303031185,-6.519209301785062,-0.22331446085362228
